City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,port elizabeth,-33.918,25.5701,24.62,98,100,0.45,ZA,1673993265
289,menongue,-14.6585,17.691,17.59,97,100,2.62,AO,1673993266
290,xiongzhou,25.1167,114.3,5.32,75,100,1.87,CN,1673993267
291,eirunepe,-6.6603,-69.8736,25.02,85,91,0.97,BR,1673993230
292,fukue,32.6881,128.8419,7.57,62,95,9.16,JP,1673993268
293,kalanguy,51.0167,116.5167,-20.94,100,100,1.12,RU,1673993269
294,chokurdakh,70.6333,147.9167,-36.87,100,66,2.46,RU,1673993270
295,hermon,44.8101,-68.9134,1.4,85,75,2.06,US,1673993271
296,chifeng,42.2683,118.9636,-15.44,81,4,2.35,CN,1673993273
297,homer,59.6425,-151.5483,2.09,94,100,1.79,US,1673993274
298,tacuarembo,-31.7333,-55.9833,35.11,16,0,5.16,UY,1673993274
299,aras,42.5617,-2.356,2.23,65,0,7.72,ES,1673993275
300,komsomolskiy,40.4272,71.7189,-9.6,79,3,2.06,UZ,1673993277
301,atambua,-9.1061,124.8925,23.68,84,97,0.07,ID,1673993278
302,imbituba,-28.24,-48.6703,23.47,96,100,2.77,BR,1673993279
303,armentieres,50.6857,2.8821,0.59,82,99,0.89,FR,1673993280
304,haflong,25.1833,93.0333,9.22,65,0,0.44,IN,1673993281
305,straumen,63.8709,11.2999,3.0,74,100,3.68,NO,1673993282
306,kushiro,42.975,144.3747,-9.47,67,75,2.57,JP,1673993060
307,la ronge,55.1001,-105.2842,-7.35,94,100,2.4,CA,1673993284
308,wanning,18.8003,110.3967,15.86,86,100,5.8,CN,1673993285
309,dwarka,22.2394,68.9678,18.92,41,26,5.08,IN,1673993286
310,belmonte,-15.8631,-38.8828,25.18,81,8,3.23,BR,1673993287
311,sobolevo,54.4299,31.8996,0.62,98,100,6.98,RU,1673993288
312,yola,9.2,12.4833,24.74,22,48,2.13,NG,1673993291
313,miri,4.4148,114.0089,23.45,89,35,1.8,MY,1673993292
314,chapais,49.7834,-74.8492,-9.02,91,99,0.79,CA,1673993292
315,sur,22.5667,59.5289,20.45,65,90,5.25,OM,1673993293
316,nikolayevka,53.1257,47.2041,-15.08,99,82,1.89,RU,1673993294
317,juegang,32.3174,121.1855,-1.16,67,23,3.59,CN,1673993295
318,montepuez,-13.1256,38.9997,20.31,98,100,0.65,MZ,1673993297
319,sistranda,63.7256,8.834,2.98,63,100,13.74,NO,1673993298
320,hithadhoo,-0.6,73.0833,26.82,68,71,2.96,MV,1673993299
321,chara,56.9064,118.2631,-35.11,82,98,0.27,RU,1673993300
322,ivybridge,50.3904,-3.9191,1.84,89,7,2.88,GB,1673993301
323,coquimbo,-29.9533,-71.3436,20.85,60,0,5.66,CL,1673992996
324,santa vitoria do palmar,-33.5189,-53.3681,22.99,70,0,5.71,BR,1673992902
325,westport,41.1415,-73.3579,7.07,63,100,2.57,US,1673993303
326,smithers,54.7804,-127.1743,0.2,94,100,1.51,CA,1673993304
327,alikalia,9.1667,-11.4,22.29,19,27,1.16,SL,1673993306
328,barra do garcas,-15.89,-52.2567,24.41,87,100,2.02,BR,1673993306
329,shizuishan,39.2333,106.7694,-10.77,52,0,1.48,CN,1673993307
330,avera,33.194,-82.5271,16.73,94,97,2.54,US,1673993308
331,anchorage,61.2181,-149.9003,0.73,87,81,3.58,US,1673992957
332,ketchikan,55.3422,-131.6461,5.26,87,100,8.75,US,1673993310
333,kavaratti,10.5669,72.642,26.41,74,10,2.65,IN,1673993311
334,teya,60.3778,92.6267,-42.22,100,54,0.71,RU,1673993312
335,male,4.1748,73.5089,26.61,79,77,5.25,MV,1673992889
336,fort-shevchenko,44.5086,50.263,-0.24,46,0,4.98,KZ,1673993314
337,gushikawa,26.3544,127.8686,15.57,73,75,1.54,JP,1673993315
338,cabedelo,-6.9811,-34.8339,24.37,81,100,5.13,BR,1673993316
339,svobodnyy,51.4,128.1333,-40.11,100,27,0.89,RU,1673993317
340,hofn,64.2539,-15.2082,-4.99,58,0,7.2,IS,1673993318
341,oksfjord,70.2396,22.3479,3.1,81,34,3.34,NO,1673993319
342,san jeronimo,-11.9472,-75.2829,16.59,53,88,2.72,PE,1673993320
343,beckley,37.7782,-81.1882,10.93,92,75,3.6,US,1673993322
344,capitao poco,-1.7464,-47.0594,22.95,96,77,2.37,BR,1673993323
345,ambon,-3.6954,128.1814,25.69,15,20,4.12,ID,1673993323
346,tadine,-21.55,167.8833,25.52,65,99,5.53,NC,1673993178
347,ambilobe,-13.2,49.05,22.46,95,100,0.83,MG,1673993325
348,aguimes,27.9054,-15.4461,15.92,77,75,5.14,ES,1673993326
349,marzuq,14.4,46.4667,16.4,69,24,1.97,YE,1673993327
350,udachnyy,66.4167,112.4,-48.54,99,94,1.95,RU,1673993328
351,golaghat,26.5167,93.9667,11.34,81,1,1.74,IN,1673993329
352,gayeri,12.6497,0.4931,21.97,18,6,4.03,BF,1673993329
353,zheleznodorozhnyy,55.7503,38.0042,0.34,92,100,6.27,RU,1673993330
354,nome,64.5011,-165.4064,-18.96,65,100,5.66,US,1673993331
355,vieste,41.8825,16.175,14.84,72,49,8.12,IT,1673993332
356,port hueneme,34.1478,-119.1951,17.1,55,0,9.77,US,1673993333
357,kyshtovka,56.555,76.6271,-18.66,99,12,2.74,RU,1673993334
358,tandalti,13.0167,31.8667,19.86,22,52,5.57,SD,1673993334
359,jacareacanga,-6.2222,-57.7528,22.01,99,100,1.77,BR,1673993335
